name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Common gull	https://martinfrancois.github.io/bird-images/1280px-2007-03-16-28929-gull2c-mc3b6we.jpg	The common gull or sea mew (Larus canus ) is a medium-sized gull that breeds in the Palearctic, northern Europe. The closely related short-billed gull is sometimes included in this species, which may be known collectively as ""mew gull"". Many common gulls migrate further south in winter. There are differing accounts as to how the species acquired its vernacular name (see Etymology section below).	Unknown	18	0	290-552 g	40-46 cm	119-122 cm	North America, Europe, Asia, Africa	Omnivore	Migrating	-	Unknown	Least concern (LC)	-
Common House Martin	https://martinfrancois.github.io/bird-images/1200px-gorodskaya-lastochka-delichon-urbicajpg.jpg	The common house martin (Delichon urbicum ), sometimes called the northern house martin or, particularly in Europe, just house martin, is a migratory passerine bird of the swallow family which breeds in Europe, north Africa and across the Palearctic; and winters in sub-Saharan Africa and tropical Asia. It feeds on insects which are caught in flight, and it migrates to climates where flying insects are plentiful. It has a blue head and upperparts, white rump and pure white underparts, and is found in both open country and near human habitation. It is similar in appearance to the two other martin species of the genus Delichon, which are both endemic to eastern and southern Asia. It has two accepted subspecies.	10-500 mln	14	0	18 g	13 cm	26-29 cm	Europe, Africa, Asia	Carnivore,  Insectivores	Migrating	4-5 weeks	Decreasing	Least concern (LC)	14-16 days
Common Kestrel	https://martinfrancois.github.io/bird-images/turmfalke-falco-tinnunculus-uitkerkse-polders-belgien-2.jpg	The common kestrel (Falco tinnunculus ) is a bird of prey species belonging to the kestrel group of the falcon family Falconidae. It is also known as the European kestrel, Eurasian kestrel, or Old World kestrel. In Britain, where no other kestrel species commonly occurs, it is generally just called ""kestrel"".	4.3-6.7 mln	18	0	136-314 g	32-39 cm	65-82 cm	Europe, Asia, Africa	Carnivore	Partial Migrant	7 to 8 weeks	Decreasing	Least concern (LC)	4 weeks
Common Kingfisher	https://martinfrancois.github.io/bird-images/common-kingfisher.jpg	The common kingfisher (Alcedo atthis ), also known as the Eurasian kingfisher and river kingfisher, is a small kingfisher with seven subspecies recognized within its wide distribution across Eurasia and North Africa. It is resident in much of its range, but migrates from areas where rivers freeze in winter.	700,000-1,39	21	40	35-40 g	16-17 cm	24-26 cm	Asia, Europe, Africa, Oceania	Carnivore,  Piscivores	Partial Migrant	23-24 days	-	Least concern (LC)	19-21 days
Common Linnet	https://martinfrancois.github.io/bird-images/1620px-konopka-obecnjpg.jpg	The Common linnet (Linaria cannabina ) is a small passerine bird of the finch family, Fringillidae. It derives its common name and the scientific name, Linaria, from its fondness for hemp seeds and flax seeds - flax being the English name of the plant from which linen is made.	54-98 mln	9	0	15-26 g	13-14 cm	-	Europe, Asia, Africa	Herbivore,  Granivore	Partial Migrant	24-28 days	Decreasing	Least concern (LC)	11-13 days
Common Loon	https://martinfrancois.github.io/bird-images/GQ4RqP8ekHsiKcIKq8Hl.jpg	The common loon or great northern diver (Gavia immer ) is a large member of the loon, or diver, family of birds. Breeding adults have a plumage that includes a broad black head and neck with a greenish, purplish, or bluish sheen, blackish or blackish-grey upperparts, and pure white underparts except some black on the undertail coverts and vent. Non-breeding adults are brownish with a dark neck and head marked with dark grey-brown. Their upperparts are dark brownish-grey with an unclear pattern of squares on the shoulders, and the underparts, lower face, chin, and throat are whitish. The sexes look alike, though males are significantly heavier than females. During the breeding season, loons live on lakes and other waterways in Canada; the northern United States (including Alaska); and southern parts of Greenland and Iceland. Small numbers breed on Svalbard and sporadically elsewhere in Arctic Eurasia. Common loons winter on both coasts of the US as far south as Mexico, and on the Atlantic coast of Europe.	612-640 thou	30	120	2-7.6 kg	66-91 cm	127-147 cm	North America, Europe	Carnivore,  Piscivores	Migrating	2 months	Stable	Least concern (LC)	28 days
Common Merganser	https://martinfrancois.github.io/bird-images/PM6x8kX1ujAvlPhig9CR.jpg	The common merganser (North American) or goosander (Eurasian) (Mergus merganser ) is a large seaduck of rivers and lakes in forested areas of Europe, Asia, and North America. The common merganser eats mainly fish. It nests in holes in trees.	Unknown	13	70	0.9-2 kg	58-72 cm	78-97 cm	North America, Europe, Asia	Carnivore,  Piscivores	Partial Migrant, Migrating	60-70 days	-	Least concern (LC)	28-35 days
Common Moorhen	https://martinfrancois.github.io/bird-images/teichhuhn-gallinula-chloropus.jpg	The common moorhen (Gallinula chloropus ), also known as the waterhen or swamp chicken, is a bird species in the rail family (Rallidae). It is distributed across many parts of the Old World.	2.9-6.2 mln	3	35	192-500 g	30-38 cm	50-62 cm	Europe, Asia, Africa, North America	Omnivore	Partial Migrant	-	Stable	Least concern (LC)	3 weeks
Common pochard	https://martinfrancois.github.io/bird-images/aythya-ferina-28male29.jpg	The common pochard (; Aythya ferina ) is a medium-sized diving duck. The scientific name is derived from Greek  aithuia an unidentified seabird mentioned by authors including Hesychius and Aristotle, and Latin ferina, ""wild game"", from ferus, ""wild"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Vulnerable (VU)	-
Common Quail	https://martinfrancois.github.io/bird-images/UR7e2lpgS2WfFBKUoU0r.jpg	The Common quail (Coturnix coturnix) is a small ground-nesting game bird in the pheasant family Phasianidae. With its characteristic call, this species of quail is more often heard than seen. It is widespread in Europe and North Africa, and should not be confused with the Japanese quail, Coturnix japonica, native to Asia, which looks very similar. Like the Japanese quail, Common quails are sometimes kept as poultry.	15-35 mln	5	60	70-140 g	16-18 cm	32-35 cm	Europe, Asia, Africa	Herbivore,  Granivore,  Omnivore	Migrating	30-50 days	Decreasing	Least concern (LC)	17-20 days
Common Raven	https://martinfrancois.github.io/bird-images/UElHP9jxOPCRWCjxvMQW.jpg	The Common raven (Corvus corax) is a large all-black passerine bird. Found across the Northern Hemisphere, it is the most widely distributed of all corvids. It is one of the two largest corvids, alongside the Thick-billed raven, and is possibly the heaviest passerine bird. Common ravens have coexisted with humans for thousands of years and in some areas have been so numerous that people have regarded them as pests. In many cultures Common ravens have been revered as spiritual figures or godlike creatures.	16 mln	44	0	0.7-2 kg	54-67 cm	115-150 cm	North America, Europe, Asia, Africa	Omnivore,  Scavenger	Not a migrant	7-7.5 mos	Increasing	Least concern (LC)	18-21 days
Common redpoll	https://martinfrancois.github.io/bird-images/common-redpoll-28f29-282942949567829.jpg	The common redpoll or mealy redpoll (Acanthis flammea ) is a species of bird in the finch family. It breeds somewhat further south than the Arctic redpoll, also in habitats with thickets or shrubs.	Unknown	0	0	-	-	-	Europe, North America, Asia	-	Migrating	-	Decreasing	Least concern (LC)	-
Common redshank	https://martinfrancois.github.io/bird-images/common-redshank-28tringa-totanus29-283375599383429.jpg	The common redshank or simply redshank (Tringa totanus ) is a Eurasian wader in the large family Scolopacidae.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Common Redstart	https://martinfrancois.github.io/bird-images/1527px-redstart-by-andy-morffewjpg.jpg	The Common redstart (Phoenicurus phoenicurus ), or often simply redstart, is a small elegantpasserine bird in the genus Phoenicurus. Like its relatives, it was formerly classed as a member of the thrush family, (Turdidae), but is now known to be an Old World flycatcher (family Muscicapidae).	32.1-49.8 M	2	0	11-23 g	13-14.5 cm	22 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	-	Increasing	Least concern (LC)	-
Common reed bunting	https://martinfrancois.github.io/bird-images/2560px-bruant-des-roseaux2c-rnn-vauville2c-mltr.jpg	The common reed bunting (Emberiza schoeniclus ) is a passerine bird in the bunting family Emberizidae, a group now separated by most modern authors from the finches, Fringillidae. The genus name Emberiza is from Old German Embritz, a bunting. The specific schoeniclus is from Ancient Greek skhoiniklos, a now unknown waterside bird.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Common ringed plover	https://martinfrancois.github.io/bird-images/2560px-charadrius-hiaticula-283479325490129.jpg	The common ringed plover or ringed plover (Charadrius hiaticula ) is a small plover that breeds in Arctic Eurasia. The genus name Charadrius is a Late Latin word for a yellowish bird mentioned in the fourth-century Vulgate. It derives from Ancient Greek kharadrios a bird found in ravines and river valleys (kharadra, ""ravine""). The specific hiaticula is Latin and has a similar meaning to the Greek term, coming from hiatus, ""cleft"" and -cola, ""dweller"" (colere, ""to dwell"").	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Common rock thrush	https://martinfrancois.github.io/bird-images/monsax.jpg	The common rock thrush (Monticola saxatilis ), also known as rufous-tailed rock thrush or simply rock thrush, is a chat belonging to the family Muscicapidae. It was formerly placed in the family Turdidae. The scientific name is from Latin. Monticola is from mons, montis ""mountain"", and colere, ""to dwell"", and saxatilis means ""rock-frequenting"", from saxum, ""stone"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Common rosefinch	https://martinfrancois.github.io/bird-images/common-rosefinch-28carpodacus-erythrinus29-282859854239129.jpg	The common rosefinch (Carpodacus erythrinus ) or scarlet rosefinch is the most widespread and common rosefinch of Asia and Europe.	Unknown	0	0	-	-	-	Europe, Asia	-	Migrating	-	Decreasing	Least concern (LC)	-
Common sandpiper	https://martinfrancois.github.io/bird-images/actitis-hypoleucos-oulu-finland-2020-05-26.jpg	The common sandpiper (Actitis hypoleucos ) is a small Palearctic wader. This bird and its American sister species, the spotted sandpiper (A. macularia ), make up the genus Actitis. They are parapatric and replace each other geographically; stray birds of either species may settle down with breeders of the other and hybridize. Hybridization has also been reported between the common sandpiper and the green sandpiper, a basal species of the closely related shank genus Tringa.	Unknown	0	0	40 g	18-24 cm	35 cm	Europe, Asia, Africa	Carnivore	Migrating	-	Decreasing	Least concern (LC)	-
Common scoter	https://martinfrancois.github.io/bird-images/2560px-melanitta-nigra-283977206624429.jpg	The common scoter (Melanitta nigra ) is a large sea duck, 43�54�cm (17�21�in) in length, which breeds over the far north of Europe and the Palearctic east to the Olenyok River. The genus name is derived from Ancient Greek melas, ""black"", and netta, ""duck"". The species name is from Latin niger ""shining black"". The black scoter (M. americana ) of North America and eastern Siberia is sometimes considered a subspecies of M. nigra.	Unknown	0	0	862-1270 g	43-53 cm	206-241 mm	-	Carnivore,  Molluscivore	Migrating	-	Unknown	Least concern (LC)	-
Common shelduck	https://martinfrancois.github.io/bird-images/common-shelduck2c-male2c-female-28tadorna-tadorna29.jpg	The common shelduck (Tadorna tadorna ) is a waterfowl species of the shelduck genus, Tadorna. It is widespread and common in the Euro-Siberian region of the Palearctic, mainly breeding in temperate and wintering in subtropical regions; in winter, it can also be found in the Maghreb.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
